"","Date","Open","High","Low","Close","Adj.Close","Volume","Rate","Daily_Rate"
"1","11/12/2019",27658,27732,27597,27663,27663,123436,0.004881047,-0.0180779521295828
"2","11/13/2019",27661,27771,27524,27761,27761,134410,0.00892954,-0.361519829362641
"3","11/14/2019",27772,27806,27633,27746,27746,160990,0.006229296,0.0936194728503529
"4","11/15/2019",27750,27971,27736,27953,27953,143715,0.008468468,-0.731531531531532
"5","11/17/2019",0,0,0,0,0,0,0,0
"6","11/18/2019",27960,28059,27926,28008,28008,136561,0.004756795,-0.171673819742489
"7","11/19/2019",28013,28128,27851,27895,27895,127718,0.009888266,0.421232998964766
"8","11/20/2019",27884,27884,27643,27800,27800,151389,0.008642949,0.301248027542677
"9","11/21/2019",27726,27846,27654,27748,27748,189292,0.006924908,-0.0793479044939768
"10","11/22/2019",27754,27884,27722,27862,27862,163143,0.005836996,-0.38913309793183
"11","11/24/2019",0,0,0,0,0,0,0,0
"12","11/25/2019",27927,28045,27904,28039,28039,128358,0.005048877,-0.401045583127439
"13","11/26/2019",28025,28149,27999,28130,28130,96942,0.005352364,-0.374665477252453
"14","11/27/2019",28122,28173,28058,28148,28148,118715,0.004089325,-0.0924543062371097
"15","11/29/2019",0,0,0,0,0,0,0,0
"16","12/1/2019",0,0,0,0,0,0,0,0
"17","12/2/2019",28082,28197,27772,27789,27789,100093,0.01513425,1.04337297913254
"18","12/3/2019",27788,27847,27312,27487,27487,226061,0.019252915,1.08320138189146
"19","12/4/2019",27478,27727,27397,27643,27643,260953,0.012009608,-0.600480384307446
"20","12/5/2019",27644,27773,27558,27678,27678,182074,0.007777456,-0.122992331066416
"21","12/6/2019",27688,28039,27675,28014,28014,164776,0.013146489,-1.17740537416932
"22","12/8/2019",0,0,0,0,0,0,0,0
"23","12/9/2019",28020,28047,27878,27902,27902,150639,0.006031406,0.421127765881513
"24","12/10/2019",27901,27959,27726,27921,27921,109241,0.008350955,-0.0716820185656428
"25","12/11/2019",27924,27981,27804,27924,27924,164907,0.006338633,0
"26","12/12/2019",27933,28230,27856,28131,28131,140780,0.013389181,-0.708839007625389
"27","12/13/2019",28181,28303,28036,28168,28168,239172,0.009474469,0.0461303715269153
"28","12/15/2019",0,0,0,0,0,0,0,0
"29","12/16/2019",28192,28345,28159,28253,28253,168864,0.006597616,-0.216373439273553
"30","12/17/2019",28235,28335,28173,28276,28276,78480,0.00573756,-0.145209845935895
"31","12/18/2019",28257,28327,28238,28266,28266,70689,0.003149662,-0.0318505149166578
"32","12/19/2019",28275,28416,28242,28386,28386,38628,0.006153846,-0.392572944297082
"33","12/20/2019",28390,28605.59961,28373,28605.59961,28605.59961,34961,0.008193012,-0.759420958083836
"34","12/22/2019",0,0,0,0,0,0,0,0
"35","12/23/2019",28491,28583,28475,28550,28550,146964,0.003790671,-0.207082938471798
"36","12/24/2019",0,0,0,0,0,0,0,0
"37","12/26/2019",28518,28624,28510,28619,28619,44128,0.003997475,-0.354162283470089
"38","12/27/2019",28603,28721,28596,28610,28610,59115,0.004370171,-0.0244729573820928
"39","12/29/2019",28618,28646,28618,28642,28642,50944,0.000978405,-0.0838633028164093
"40","12/30/2019",28618,28660,28403,28440,28440,121521,0.008980362,0.621986162555035
"41","12/31/2019",28427,28553,28341,28508,28508,165288,0.007457699,-0.28494037358849
"42","1/2/2020",28553,28871,28538,28841,28841,127526,0.011662522,-1.00865057962386
"43","1/3/2020",28844,28893,28431,28602,28602,183583,0.016017196,0.838995978366385
"44","1/5/2020",28494,28504,28446,28498,28498,266146,0.002035516,-0.0140380430967923
"45","1/6/2020",28494,28700,28351,28642,28642,245778,0.012248193,-0.519407594581315
"46","1/7/2020",28636,28739,28446,28526,28526,218793,0.010231876,0.384131861991898
"47","1/8/2020",28502,28833,28084,28770,28770,198208,0.026278858,-0.940284892288261
"48","1/9/2020",28772,28953,28745,28929,28929,337249,0.007229251,-0.54566940080634
"49","1/10/2020",28930,29022,28751,28777,28777,181585,0.009367439,0.52886277220878
