,Date,Open,High,Low,Close,Adj.Close,Volume,Rate,Variance
1,11/12/2019,8253.25,8300.25,8228.5,8275,8275,229844,-0.263532548,0.008693545
2,11/13/2019,8273,8281.5,8220,8265.75,8265.75,316729,0.087634474,0.007433821
3,11/14/2019,8269,8285.5,8216.25,8265.5,8265.5,382042,0.042326763,0.008374652
4,11/15/2019,8267.5,8324,8261.25,8318.75,8318.75,381593,-0.619897188,0.007589961
5,11/17/2019,8318.75,8323,8307.25,8310.5,8310.5,145950,0.099173554,0.001893313
6,11/18/2019,8318.75,8367,8279.25,8333.5,8333.5,367145,-0.177310293,0.01054846
7,11/19/2019,8335,8379,8312.5,8341.5,8341.5,370609,-0.077984403,0.007978404
8,11/20/2019,8333,8348,8231,8291.75,8291.75,373942,0.495019801,0.014040562
9,11/21/2019,8261.5,8308,8240,8274.5,8274.5,526978,-0.157356412,0.008230951
10,11/22/2019,8280.25,8313.5,8233.25,8280.5,8280.5,411833,-0.003019233,0.009691736
11,11/24/2019,8303.25,8311.75,8296.5,8306.25,8306.25,225178,-0.036130431,0.00183663
12,11/25/2019,8303.25,8379.25,8296.5,8376.5,8376.5,344497,-0.882184687,0.009965977
13,11/26/2019,8374.25,8422,8366.25,8400.75,8400.75,259485,-0.316446249,0.006657313
14,11/27/2019,8402.75,8458.75,8397,8454.75,8454.75,285726,-0.618845021,0.007348785
15,11/29/2019,NA,NA,NA,NA,NA,NA,NA,NA
16,12/1/2019,8424.5,8435.25,8422.5,8431,8431,142613,-0.077155914,0.001513443
17,12/2/2019,8424.5,8457.25,8276.5,8316,8316,242603,1.287910262,0.021455279
18,12/3/2019,8313.75,8337.5,8168.25,8251.25,8251.25,559474,0.751766652,0.020357841
19,12/4/2019,8258.75,8319.25,8220.5,8295.25,8295.25,614317,-0.441955502,0.011957015
20,12/5/2019,8296.25,8340,8273.25,8309.25,8309.25,413647,-0.156697303,0.008045804
21,12/6/2019,8311,8409.5,8307.75,8400.25,8400.25,370987,-1.073877993,0.012242811
22,12/8/2019,8401.5,8414.25,8401,8404.25,8404.25,96971,-0.03273225,0.001577099
23,12/9/2019,8401.5,8427.25,8347,8356,8356,302782,0.541569958,0.009551866
24,12/10/2019,8354.5,8398,8297,8363.75,8363.75,292419,-0.110718774,0.012089293
25,12/11/2019,8366.25,8411,8345,8405.5,8405.5,403364,-0.46914687,0.007888839
26,12/12/2019,8407.5,8497,8381,8465.25,8465.25,304183,-0.686886708,0.013797205
27,12/13/2019,8485,8523.75,8435.5,8494,8494,554338,-0.106069534,0.010400707
28,12/15/2019,8507,8516.5,8503.25,8510,8510,57349,-0.035265076,0.001557541
29,12/16/2019,8507,8587.75,8503.25,8576,8576,335038,-0.811096744,0.009932996
30,12/17/2019,8576,8596.75,8563.25,8576.25,8576.25,192050,-0.002915112,0.00390625
31,12/18/2019,8569.75,8612,8567.75,8590.25,8590.25,145053,-0.239213513,0.005163511
32,12/19/2019,8598,8655.5,8580.25,8642.5,8642.5,98301,-0.517562224,0.008752035
33,12/20/2019,8651,8707.459961,8638.25,8707.459961,8707.459961,65776,-0.652640862,0.008000227
34,12/22/2019,8710.75,8723.5,8707.5,8722,8722,143924,-0.129150762,0.001836811
35,12/23/2019,8710.75,8743.25,8707.5,8726.5,8726.5,307870,-0.180811067,0.004104124
36,12/24/2019,NA,NA,NA,NA,NA,NA,NA,NA
37,12/26/2019,8730.25,8805,8729,8804.25,8804.25,106029,-0.847627502,0.008705364
38,12/27/2019,8801,8843.5,8769,8783.25,8783.25,170684,0.201681627,0.008464947
39,12/29/2019,8783.5,8799.5,8783,8797.75,8797.75,164378,-0.162236011,0.001878522
40,12/30/2019,8783.5,8809.75,8691.25,8733.75,8733.75,322888,0.566402915,0.013491205
41,12/31/2019,8731.75,8772.25,8692.25,8752.25,8752.25,404047,-0.234775389,0.009161966
42,1/2/2020,8776.75,8901.5,8769.5,8891.75,8891.75,284519,-1.310280001,0.015039736
43,1/3/2020,8895.5,8907.25,8735.25,8810,8810,416637,0.961160137,0.019335619
44,1/5/2020,8772.25,8777.5,8747.75,8777.25,8777.25,524228,-0.05699792,0.003391376
45,1/6/2020,8772.25,8873,8723,8847.5,8847.5,599887,-0.85781869,0.017099376
46,1/7/2020,8853.25,8894.75,8825.75,8853,8853,469514,0.002823822,0.007793748
47,1/8/2020,8841.5,8972.25,8678,8944.5,8944.5,510004,-1.164960697,0.033280552
48,1/9/2020,8948.75,9022.25,8932.5,9009,9009,723085,-0.673278391,0.010029334
49,1/10/2020,9010,9055.5,8966.25,8978.25,8978.25,457262,0.352386238,0.00990566
50,1/12/2020,8979,8999.5,8979,8991.5,8991.5,217973,-0.139213721,0.002283105
51,1/13/2020,8979,9095.5,8979,9088.25,9088.25,472166,-1.216727921,0.012974719
52,1/14/2020,9087.75,9114.75,9035,9062.5,9062.5,380440,0.277846552,0.00877555
53,1/15/2020,9062,9096,9023,9060,9060,553343,0.022070183,0.008055617
54,1/16/2020,9061.75,9140.25,9061.5,9133.5,9133.5,497100,-0.791789665,0.008690374
55,1/17/2020,9137,9189.25,9130,9174.5,9174.5,397881,-0.410419175,0.006484623
