,Date,Open,High,Low,Close,Adj.Close,Volume,Rate,Variance
1,11/12/2019,3087.75,3102,3081.25,3092,3092,844597,-0.137640677,0.006720104
2,11/13/2019,3091.25,3097,3075.75,3095.5,3095.5,1101243,-0.137484836,0.006874242
3,11/14/2019,3096.25,3099.75,3081.75,3097,3097,1251057,-0.02422285,0.005813484
4,11/15/2019,3097,3119.5,3095.75,3118.25,3118.25,1105353,-0.686147885,0.007668712
5,11/17/2019,3119,3119.25,3114,3114,3114,327904,0.160307791,0.001683232
6,11/18/2019,3119,3127.75,3111,3121.75,3121.75,1251167,-0.088169285,0.005370311
7,11/19/2019,3121.5,3132.5,3112.75,3118.5,3118.5,1034214,0.096107641,0.006327086
8,11/20/2019,3116.5,3118.5,3090.75,3109,3109,1195901,0.24065458,0.008904219
9,11/21/2019,3097.25,3114.5,3091.25,3104,3104,1693828,-0.217935265,0.007506659
10,11/22/2019,3104,3114.5,3097.75,3111.5,3111.5,1434552,-0.241623711,0.005396263
11,11/24/2019,3119,3121,3116.5,3118.25,3118.25,378247,0.024046169,0.00144277
12,11/25/2019,3119,3133.5,3116.5,3132.75,3132.75,995416,-0.440846425,0.005450465
13,11/26/2019,3131.25,3145,3128,3143.75,3143.75,947831,-0.399201597,0.005429142
14,11/27/2019,3143.75,3155,3141.75,3153.75,3153.75,1068011,-0.318091451,0.004214712
15,11/29/2019,NA,NA,NA,NA,NA,NA,NA,NA
16,12/1/2019,3146.25,3148,3144.25,3146,3146,321852,0.007945967,0.001191895
17,12/2/2019,3146.25,3158,3110.25,3114.25,3114.25,902189,1.01708383,0.015176798
18,12/3/2019,3114.25,3121.75,3069.5,3091,3091,1927030,0.746568195,0.016777715
19,12/4/2019,3091.75,3119.5,3081.75,3111,3111,2146620,-0.622624727,0.012209913
20,12/5/2019,3111,3124.75,3103.25,3117.75,3117.75,1485940,-0.216972035,0.006910961
21,12/6/2019,3117.75,3151,3117,3146,3146,1318780,-0.906102157,0.0109053
22,12/8/2019,3146.5,3148.5,3146,3146.75,3146.75,208071,-0.007945336,0.000794534
23,12/9/2019,3146.5,3149.5,3131.25,3134.5,3134.5,1300299,0.381376132,0.005800095
24,12/10/2019,3133.5,3143,3116.25,3136,3136,1145426,-0.07978299,0.00853678
25,12/11/2019,3135.5,3144.5,3129.5,3143,3143,1425723,-0.2391963,0.004783926
26,12/12/2019,3144,3177.5,3137.25,3168,3168,1225764,-0.763358779,0.012802163
27,12/13/2019,3175.75,3185,3156.75,3172,3172,2379008,0.118082343,0.008895536
28,12/15/2019,3176.5,3177.25,3173.75,3176.25,3176.25,278836,0.007870297,0.001101842
29,12/16/2019,3176.5,3198.75,3173.75,3194.25,3194.25,1834941,-0.558791122,0.007870297
30,12/17/2019,3192.5,3199.25,3187.75,3192,3192,1413219,0.015661707,0.003602193
31,12/18/2019,3189.5,3199,3188.5,3194.75,3194.75,1032120,-0.164602602,0.003292052
32,12/19/2019,3195,3209,3190.25,3207,3207,582632,-0.375586854,0.005868545
33,12/20/2019,3208.5,3231.02002,3204.25,3231.02002,3231.02002,433420,-0.70188624,0.008343469
34,12/22/2019,3227,3229,3224.75,3228.25,3228.25,215181,-0.038735668,0.001317013
35,12/23/2019,3227,3234.25,3224.25,3227.25,3227.25,1320006,-0.007747134,0.003098853
