,bitcoin,djia,sap,ndq,text_Pol,text_Subj,desc_Pol,desc_Subj,compound,neg,neu,pos,date
2/6/20,0.011643018,-0.007742221,-0.008843212,-0.002029713,0.081933183,0.401092724,0.073968097,0.414227053,-0.0635,0.080869565,0.858173913,0.060869565,2/6/20
2/7/20,0.007191076,0.003504847,0.003225546,0.004397662,0.043455753,0.419312469,-0.035457251,0.304583579,0.146318182,0.068681818,0.865136364,0.066181818,2/7/20
2/8/20,0.007357124,0.001175456,0.00233895,0.004282976,0.075465766,0.386197125,0.09782197,0.494128788,-0.4049125,0.085,0.85225,0.063,2/8/20
2/9/20,0.025626723,inf,0.002372881,0.004282976,0.148180642,0.447946083,0.084259259,0.322685185,0.3205,0.058222222,0.835111111,0.106333333,2/9/20
2/10/20,-0.025599003,0.006667725,0.017620723,0.012546037,0.050377045,0.395816461,-0.025941558,0.249295334,-0.403106667,0.082533333,0.8526,0.064933333,2/10/20
2/11/20,0.035749655,-0.00353889,-0.003867371,-0.004444822,0.08012701,0.41118948,0.111049107,0.305411255,0.048575,0.066,0.866,0.06775,2/11/20
2/12/20,0.012121378,0.002750978,0.002961632,0.002921414,0.061683313,0.398703598,0.04725691,0.393235931,-0.649569231,0.078846154,0.864384615,0.056692308,2/12/20
2/13/20,-0.010614245,0.001634412,0.001752819,0.000843739,0.102386439,0.408343294,0.053017151,0.333938342,-0.33813125,0.0811875,0.851625,0.0673125,2/13/20
2/14/20,0.009848203,-0.003174846,-0.002893279,-0.003255734,0.082000111,0.395878088,0.080890538,0.239533086,0.053864286,0.071428571,0.849928571,0.078714286,2/14/20
2/15/20,-0.041151595,inf,-0.002893279,-0.003255734,0.027828124,0.375262446,0.223787879,0.677424242,0.1121,0.0546,0.88,0.0654,2/15/20
2/16/20,0.004576103,0.017076826,0.016495233,0.016041343,0.013502725,0.370526868,-0.03621633,0.258754209,-0.074325,0.053,0.89125,0.0555,2/16/20
2/17/20,-0.024799121,0.006321912,0.005378687,0.007315914,0.0632394,0.377626645,-0.053626543,0.280941358,0.050841667,0.065833333,0.866416667,0.067833333,2/17/20
2/18/20,0.046512734,0.00044287,0.002185697,0.001743417,0.069572844,0.411649027,0.092694805,0.322293586,-0.1221,0.080166667,0.848583333,0.071,2/18/20
2/19/20,-0.050317649,0.000424358,0.000840047,0.000593843,0.08145508,0.411273188,0.127224026,0.280171356,-0.065742857,0.0695,0.871214286,0.059214286,2/19/20
2/20/20,-0.00216522,0.012863913,0.016217288,0.016232394,0.094671005,0.418373196,0.089026292,0.345889037,0.271511765,0.070529412,0.852,0.077529412,2/20/20
2/21/20,0.007767465,inf,0.016217288,0.016232394,0.105249929,0.416371699,0.044568348,0.33578491,0.579569231,0.057769231,0.857307692,0.085076923,2/21/20
2/22/20,-0.002531599,0.005901784,0.01991256,-0.002399066,0.066108742,0.416167435,0.219454157,0.412247475,-0.082307692,0.087307692,0.834153846,0.078846154,2/22/20
2/23/20,0.027029769,-0.034729461,-0.036028823,-0.015286013,0.074262087,0.393939356,0.122865014,0.339600551,-0.780127273,0.079363636,0.861727273,0.058818182,2/23/20
2/24/20,-0.027355333,0.006999759,0.007294833,0.006672795,0.085686304,0.402982683,0.100217325,0.317312519,-0.3105,0.072272727,0.867181818,0.060363636,2/24/20
2/25/20,-0.032079308,-0.002361809,-0.000457897,-0.003974151,0.106629897,0.415162593,0.058685065,0.141221279,0.014164286,0.0725,0.850214286,0.077357143,2/25/20
2/26/20,-0.055445652,0.014910892,0.016163335,0.013445729,0.070342086,0.423279419,0.140997475,0.416843434,-0.818625,0.087666667,0.861916667,0.050333333,2/26/20
2/27/20,-0.004600473,-0.01437527,-0.007656795,-0.016070903,0.071249565,0.416199533,0.076283487,0.354716733,-0.027156522,0.064217391,0.872391304,0.063217391,2/27/20
2/28/20,-0.013229836,0.028250137,0.025702263,0.052238806,0.075336275,0.412463323,0.14674062,0.416599387,-0.302715,0.065,0.87985,0.0552,2/28/20
2/29/20,-0.008269212,0.080265445,0.061479452,0.045868996,0.100804773,0.403272589,0.02278562,0.321350147,-0.030352174,0.064695652,0.857565217,0.077913043,2/29/20
3/1/20,-0.004337876,0.031986697,0.025041563,0.003597727,0.105502088,0.403731061,0.000501166,0.189469697,0.281792308,0.058769231,0.856538462,0.084692308,3/1/20
3/2/20,0.035781362,0.071149633,0.069769811,0.055133974,0.089334838,0.436720582,0.076065805,0.383318479,-0.148582353,0.068529412,0.865705882,0.065882353,3/2/20
3/3/20,-0.008753318,-0.032228902,-0.022308438,-0.026616459,0.087581976,0.454962842,0.0224807,0.439540164,0.039186667,0.074311111,0.851533333,0.074111111,3/3/20
3/4/20,-0.003788558,0.013714996,0.012200081,0.012642396,0.078426202,0.439492926,0.037441625,0.375776184,-0.080981081,0.071405405,0.859864865,0.068891892,3/4/20
3/5/20,0.0363547,0.039625293,0.040377921,0.042964092,0.069906927,0.437084665,0.087780952,0.389312807,0.038924,0.06854,0.8643,0.06724,3/5/20
3/6/20,0.004872857,-0.031615925,-0.029046436,-0.020459952,0.077549108,0.410665822,0.041471174,0.296116128,0.134672,0.06234,0.86428,0.07342,3/6/20
3/7/20,-0.023202779,-0.021732019,-0.023242014,-0.025316044,0.121502596,0.427273935,0.055341729,0.245421422,0.584727273,0.051454545,0.854030303,0.094484848,3/7/20
3/8/20,-0.089814923,0.006181645,0.00886382,0.008205435,0.107809603,0.421774346,0.086426768,0.404868687,0.147273333,0.059933333,0.863,0.0771,3/8/20
3/9/20,-0.023116578,-0.00551226,-0.004415454,-0.005059357,0.078493354,0.42303881,-0.005383982,0.339733173,0.009231915,0.080234043,0.847212766,0.072638298,3/9/20
3/10/20,-0.001567439,,,,0.078347069,0.425061511,0.043124905,0.394966979,0.112927632,0.070671053,0.853934211,0.075434211,3/10/20
3/11/20,0.000169446,0.041945766,0.035651666,0.036650727,0.087603328,0.438971463,0.039015042,0.367983093,0.031961039,0.06838961,0.856376623,0.075337662,3/11/20
3/12/20,-0.371868947,-0.000355619,-0.000378,-0.000560102,0.088676497,0.422292128,0.044982393,0.361867927,0.127575676,0.067135135,0.859207207,0.073531532,3/12/20
3/13/20,0.108787237,0.040848075,0.038741378,0.023594877,0.081044179,0.41257819,0.039578271,0.319411664,0.152390968,0.060574194,0.868787097,0.070516129,3/13/20
3/14/20,-0.066877128,0.017578545,0.019385516,0.008661851,0.088257754,0.41193953,0.04578624,0.325904425,0.13049,0.06254,0.8664,0.07124,3/14/20
3/15/20,0.036770926,,,,0.093717602,0.430069889,0.078717124,0.323250125,0.435521429,0.055654762,0.863083333,0.081202381,3/15/20
3/16/20,-0.068845629,,,,0.083726386,0.423029863,0.071465687,0.367824531,0.184704667,0.059953333,0.868833333,0.071193333,3/16/20
3/17/20,0.044587264,,,,0.081898765,0.420635436,0.049964051,0.358034296,0.241563333,0.059547619,0.864642857,0.075795238,3/17/20
3/18/20,0.002166532,,,,0.093201693,0.418546385,0.068946668,0.344908553,0.299335874,0.059681614,0.863264574,0.077053812,3/18/20
3/19/20,0.180305294,,,,0.092976324,0.422827308,0.044610649,0.318979163,0.302875369,0.060541872,0.86329064,0.076182266,3/19/20
3/20/20,0.001150664,,,,0.086702847,0.4256979,0.067401318,0.340139922,0.296518584,0.057920354,0.865013274,0.077088496,3/20/20
3/21/20,-0.00345686,,,,0.110381665,0.434791603,0.063895965,0.323420253,0.465882051,0.052162393,0.862376068,0.085504274,3/21/20
3/22/20,-0.05744077,,,,0.121421632,0.4362783,0.060137078,0.31749467,0.639130337,0.051426966,0.85994382,0.088460674,3/22/20
3/23/20,0.100309186,,,,0.091449117,0.406140567,0.089283945,0.339950556,0.326854737,0.057505263,0.862021053,0.080436842,3/23/20
3/24/20,0.046322462,,,,0.090415143,0.431800021,0.082067858,0.340528753,0.375049479,0.060411458,0.855494792,0.084104167,3/24/20
3/25/20,-0.008555606,,,,0.103650856,0.433448219,0.076354491,0.336881665,0.465837,0.05845,0.860555,0.080975,3/25/20
3/26/20,0.006182543,,,,0.096756513,0.43387733,0.104930833,0.375176745,0.359433514,0.058864865,0.859989189,0.081108108,3/26/20
